"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Active Cases/1M pop
China,163042,4638,135218,23186,113.0,3.0,160000000,111163.0,1439323776,Asia,16.0
USA,82053242,1012131,75650267,5390844,245351.0,3026.0,990969690,2963139.0,334432357,North America,16119.0
India,43035271,521695,42502454,11122,30652.0,372.0,793429395,565130.0,1403976623,Asia,8.0
Brazil,30145192,661270,29018271,465651,140061.0,3072.0,63776166,296317.0,215229233,South America,2164.0
France,26839721,143243,23994004,2702474,409587.0,2186.0,260504402,3975423.0,65528730,Europe,41241.0
Germany,22634098,132311,18323900,4177887,268631.0,1570.0,122332384,1451890.0,84257328,Europe,49585.0
UK,21549830,169759,19531820,1848251,314522.0,2478.0,509604812,7437734.0,68516134,Europe,26975.0
Russia,17983004,371457,17183730,427817,123133.0,2543.0,273400000,1872025.0,146045033,Europe,2929.0
Italy,15238128,160658,13839605,1237865,252685.0,2664.0,206047664,3416774.0,60304734,Europe,20527.0
S. Korea,15169189,19092,,,295424.0,372.0,15804065,307789.0,51347150,Asia,276171.0
Turkey,14953365,98377,14643306,211682,173993.0,1145.0,155783790,1812651.0,85942513,Asia,2463.0
Spain,11627487,103104,11033321,491062,248521.0,2204.0,471036328,10067723.0,46786777,Europe,10496.0
Vietnam,10169929,42794,8497532,1629603,102845.0,433.0,84898827,858552.0,98886055,Asia,16480.0
Argentina,9052083,128197,8882702,41184,197091.0,2791.0,35601432,775148.0,45928553,South America,897.0
Netherlands,7971855,22080,6964548,985227,463430.0,1284.0,21107399,1227041.0,17201865,Europe,57274.0
Iran,7188749,140577,6913934,134238,83695.0,1637.0,49358909,574661.0,85892291,Asia,1563.0
Japan,6939525,28590,6422199,488736,55167.0,227.0,44561970,354250.0,125792350,Asia,3885.0
Colombia,6087737,139713,5920900,27124,117431.0,2695.0,34113190,658033.0,51841117,South America,523.0
Indonesia,6031636,155597,5801909,74130,21647.0,558.0,93136656,334262.0,278633895,Asia,266.0
Poland,5977775,115635,5333780,528360,158254.0,3061.0,35844896,948946.0,37773368,Europe,13988.0
Mexico,5719829,323595,5018306,377928,43554.0,2464.0,15659694,119243.0,131326148,North America,2878.0
Australia,5019894,6550,4527754,485590,192905.0,252.0,67568503,2596530.0,26022616,Australia/Oceania,18660.0
Ukraine,4982249,108118,,,115144.0,2499.0,19521252,451155.0,43269546,Europe,18861.0
Malaysia,4317706,35280,4128963,153463,130450.0,1066.0,57387773,1733841.0,33098629,Asia,4637.0
Israel,3993522,10559,3894082,88881,428214.0,1132.0,41373364,4436346.0,9326000,Asia,9530.0
Austria,3976750,16208,3757730,202812,437140.0,1782.0,179195293,19697849.0,9097201,Europe,22294.0
Belgium,3915732,30997,3578125,306610,335287.0,2654.0,33120016,2835922.0,11678749,Europe,26254.0
Czechia,3860071,39877,3771785,48409,359274.0,3712.0,54893226,5109157.0,10744087,Europe,4506.0
Thailand,3858346,25978,3580920,251448,55033.0,371.0,17270775,246340.0,70109464,Asia,3587.0
South Africa,3731247,100096,3617708,13443,61541.0,1651.0,24044412,396578.0,60629790,Africa,222.0
Philippines,3681097,59730,3591931,29436,32821.0,533.0,29132342,259744.0,112157781,Asia,262.0
Portugal,3667184,21874,,,361506.0,2156.0,40433267,3985860.0,10144177,Europe,75820.0
Canada,3564637,37988,3330961,195688,93006.0,991.0,59839826,1561303.0,38326854,North America,5106.0
Peru,3551245,212471,,,105118.0,6289.0,29171760,863497.0,33783277,South America,47897.0
Switzerland,3512093,13752,2996614,501727,400629.0,1569.0,20400357,2327093.0,8766456,Europe,57233.0
Chile,3508556,56997,3193781,257778,180796.0,2937.0,36053418,1857836.0,19406138,South America,13283.0
Greece,3164995,28076,2929785,207134,306297.0,2717.0,76363746,7390207.0,10333100,Europe,20046.0
Denmark,2935163,5885,2887537,41741,503610.0,1010.0,126961822,21783889.0,5828244,Europe,7162.0
Romania,2871937,65198,2606660,200079,151067.0,3429.0,22313369,1173711.0,19010956,Europe,10524.0
Sweden,2491980,18472,2446592,26916,244060.0,1809.0,18445431,1806509.0,10210538,Europe,2636.0
Iraq,2321781,25183,2288012,8586,55523.0,602.0,18389346,439763.0,41816457,Asia,205.0
Serbia,1988716,15877,1943830,29009,229242.0,1830.0,9295508,1071505.0,8675187,Europe,3344.0
Bangladesh,1952023,29123,1887933,34967,11648.0,174.0,13882935,82839.0,167588379,Asia,209.0
Hungary,1868007,45721,1725324,96962,194240.0,4754.0,11191893,1163760.0,9617009,Europe,10082.0
Slovakia,1748373,19549,1662342,66482,319962.0,3578.0,6967893,1275163.0,5464315,Europe,12167.0
Jordan,1694216,14048,1678941,1227,163186.0,1353.0,16670254,1605672.0,10382101,Asia,118.0
Georgia,1651322,16770,1631009,3543,415360.0,4218.0,16565335,4166712.0,3975637,Asia,891.0
Pakistan,1526472,30361,1486729,9382,6681.0,133.0,27715253,121309.0,228467950,Asia,41.0
Ireland,1487164,6863,1321781,158520,295351.0,1363.0,11910682,2365466.0,5035237,Europe,31482.0
Norway,1415609,2667,,,257564.0,485.0,11002430,2001846.0,5496143,Europe,240894.0
Kazakhstan,1305279,13660,1290502,1117,68077.0,712.0,11575012,603698.0,19173514,Asia,58.0
Hong Kong,1188262,8705,,,156259.0,1145.0,44972952,5914030.0,7604451,Asia,153374.0
Morocco,1163962,16061,1147128,773,30888.0,426.0,11237010,298194.0,37683512,Africa,21.0
Bulgaria,1145143,36692,938827,169624,167027.0,5352.0,9687969,1413058.0,6856033,Europe,24741.0
Singapore,1135428,1299,1064944,69185,191419.0,219.0,23611604,3980620.0,5931640,Asia,11664.0
Croatia,1108551,15675,1085430,7446,273006.0,3860.0,4717894,1161889.0,4060538,Europe,1834.0
Cuba,1096234,8517,1084906,2811,96888.0,753.0,12920253,1141930.0,11314400,North America,248.0
Lebanon,1094503,10338,1072082,12083,161635.0,1527.0,4795578,708207.0,6771440,Asia,1784.0
Lithuania,1040589,8964,988502,43123,391907.0,3376.0,8133324,3063176.0,2655193,Europe,16241.0
Tunisia,1037358,28425,,,86180.0,2361.0,4537900,376992.0,12037118,Africa,-1085.56
Slovenia,986742,6531,949545,30666,474522.0,3141.0,2626630,1263141.0,2079443,Europe,14747.0
Nepal,978568,11951,965980,637,32551.0,398.0,5574500,185431.0,30062470,Asia,21.0
Belarus,969616,6872,928536,34208,102672.0,728.0,12952334,1371513.0,9443831,Europe,3622.0
Finland,920692,3334,46000,871358,165713.0,600.0,10512930,1892200.0,5555929,Europe,156834.0
Bolivia,903244,21899,847518,33827,75558.0,1832.0,2686794,224755.0,11954325,South America,2830.0
Uruguay,893575,7181,882651,3743,255672.0,2055.0,6065403,1735451.0,3495002,South America,1071.0
